problem,mixer,N,p,mean_q,std_q,n_inst,reps,mean_se_binom_sq,se_inst,se_binom,se_total
NumberPartitioning,Grover,4,2,0.520227,0.026648511340535835,10,100000.0,2.4895173962999996e-06,0.008426999208892018,0.0015778204575616326,0.008573437645598566
NumberPartitioning,Grover,4,3,0.23839799999999997,0.01834516091204678,10,100000.0,1.8126150315999998e-06,0.00580124925243597,0.0013463339227695334,0.005955426762247093
NumberPartitioning,Grover,4,4,0.09948799999999995,0.009204001303780887,10,100000.0,8.951389557999996e-07,0.0029105607707106936,0.000946117833993208,0.003060474302424385
NumberPartitioning,Grover,4,5,0.03865299999999996,0.00374159220415882,10,100000.0,3.7146346029999966e-07,0.0011831953440671601,0.0006094780228195269,0.0013309450336216762
NumberPartitioning,Grover,4,6,0.014035999999999979,0.0015230904255638957,10,100000.0,1.383690287999998e-07,0.0004816434827177057,0.0003719798768750802,0.0006085634504671149
NumberPartitioning,Grover,4,7,0.00483399999999997,0.0005607772384032067,10,100000.0,4.8103494199999695e-08,0.0001773333333333378,0.00021932508794025296,0.00028204716859261747
NumberPartitioning,Grover,4,8,0.0015669999999999701,0.00021364820513070505,10,100000.0,1.5645034299999704e-08,6.756149462198999e-05,0.00012508011152857076,0.0001421604370264698
NumberPartitioning,Grover,4,9,0.0005279999999999801,8.638415492565057e-05,10,100000.0,5.277144999999801e-09,2.7317068331390906e-05,7.264396051978307e-05,7.761035512237836e-05
NumberPartitioning,Grover,4,10,0.00017699999999998,5.078276172965126e-05,10,100000.0,1.7696634999998004e-09,1.605891929393299e-05,4.206736858896454e-05,4.502835094569702e-05
NumberPartitioning,Grover,4,11,5.1000000000000006e-05,2.9230881691191668e-05,10,100000.0,5.099663e-10,9.24361641590803e-06,2.258243343840517e-05,2.4401039823016652e-05
NumberPartitioning,Grover,4,12,1.1e-05,1.3703203194062978e-05,10,100000.0,1.099971e-10,4.333333333333333e-06,1.0487950228714856e-05,1.1347901910828177e-05
NumberPartitioning,Grover,6,2,0.582664,0.022431524047890936,10,100000.0,2.4271380716e-06,0.0070934707380175275,0.0015579274924077823,0.007262538480635467
NumberPartitioning,Grover,6,3,0.31838799999999995,0.02208524182948126,10,100000.0,2.1657809934e-06,0.006983966685678481,0.0014716592653872024,0.007137336454173004
NumberPartitioning,Grover,6,4,0.164621,0.01773385992325918,10,100000.0,1.3723788555e-06,0.005607938906387782,0.0011714857470323742,0.005728992724142508
NumberPartitioning,Grover,6,5,0.08120199999999997,0.011803404217051604,10,100000.0,7.448284687999997e-07,0.0037325641469519526,0.0008630344540051688,0.0038310394907793838
NumberPartitioning,Grover,6,6,0.03870499999999995,0.007051945751981434,10,100000.0,3.7162166029999956e-07,0.002230021051221019,0.0006096077921910115,0.0023118424576923273
NumberPartitioning,Grover,6,7,0.01788999999999995,0.004222319004738684,10,100000.0,1.7553902719999953e-07,0.0013352145062789525,0.00041897377865446366,0.0013994058757121704
NumberPartitioning,Grover,6,8,0.00804299999999997,0.002295837053838489,10,100000.0,7.97356636999997e-08,0.0007260074226740242,0.0002823750408587836,0.0007789880881488362
NumberPartitioning,Grover,6,9,0.0034999999999999697,0.0011421811492831181,10,100000.0,3.486575879999971e-08,0.0003611893932243449,0.00018672374996234333,0.0004065999711974536
NumberPartitioning,Grover,6,10,0.00149799999999999,0.0005586849639008605,10,100000.0,1.4954750799999898e-08,0.00017667169804156687,0.00012228961852912902,0.00021486656251937033
NumberPartitioning,Grover,6,11,0.0006459999999999701,0.000292468421847192,10,100000.0,6.4550569999997e-09,9.248663567120767e-05,8.03433693592676e-05,0.00012251054965911468
NumberPartitioning,Grover,6,12,0.00026599999999997004,0.0001433100756324131,10,100000.0,2.6591075999997e-09,4.5318625064942076e-05,5.1566535660248695e-05,6.865045795751473e-05
NumberPartitioning,Grover,8,2,0.6238049999999999,0.014889540139156596,10,100000.0,2.3447279341000004e-06,0.004708486015223529,0.0015312504478693224,0.004951218889289338
NumberPartitioning,Grover,8,3,0.3761319999999999,0.018896508084240767,10,100000.0,2.3433534836e-06,0.005975600536998575,0.0015308015820477846,0.006168561847090265
