metric,problem,mixer,N,model,weighted_sse,params,perr,best,n_points_fit,include_zeros_in_fit
inc_prop,NumberPartitioning,Grover,6,power_law,3512.615771584259,0.99999999999999989;3.5372735151069401,0.11579932694740386;0.056787594622357059,False,11,False
inc_prop,NumberPartitioning,Grover,8,stretched_exp,96.36369971162036,0.99999999999999989;0.37777256421157623;1.4750490146807265,0.076002609352765538;0.037825268434853211;0.050271575781671678,True,11,False
inc_prop,NumberPartitioning,Grover,8,exp_quadratic,300.28694789376465,0.6507124844967187;0.15482053565805709,0.012067880396759538;0.0020435013441278053,False,11,False
inc_prop,NumberPartitioning,Grover,8,exp_decay,1870.0370096366842,0.99999999999999989;0.82135017370712449,0.03135460316257644;0.0064692515297309419,False,11,False
inc_prop,NumberPartitioning,Grover,8,exp_over_power,1870.0370104816743,0.99999999999998013;0.82134848960425721;1.249364950444111e-13,0.054493518020220455;0.028765494251949731;0.12702152977809136,False,11,False
inc_prop,NumberPartitioning,Grover,8,power_law,5566.237785567919,0.99999999999999989;3.4750010652560532,0.075616387869883187;0.03887253517589246,False,11,False
inc_prop,NumberPartitioning,X,4,stretched_exp,98.98707727933652,0.99999999999999989;0.21575052110116189;1.7713886614898926,0.043540010619718343;0.018224445561448824;0.045657921346851614,True,11,False
inc_prop,NumberPartitioning,X,4,exp_quadratic,187.47481186901723,0.88298249773011994;0.14957513474183745,0.01111690085556454;0.0015325106693821549,False,11,False
inc_prop,NumberPartitioning,X,4,exp_over_power,6925.659684425337,0.99999999999999989;0.82697324436261421;1.5635589103733709e-18,0.050801273777033473;0.022797109695245451;0.11133749742255426,False,11,False
inc_prop,NumberPartitioning,X,4,exp_decay,6925.6596902816,0.99999999999999989;0.82698520276857168,0.027135415544998515;0.0047237041595315516,False,11,False
inc_prop,NumberPartitioning,X,4,power_law,13667.493151338069,0.99999999999999989;3.7675883829569909,0.084174391869874354;0.040869378924470082,False,11,False
inc_prop,NumberPartitioning,X,6,stretched_exp,73.63425560055991,0.99999999999999989;0.26547669308309019;1.6371660062076112,0.055248111505470397;0.022822867364334268;0.043251728026038515,True,11,False
inc_prop,NumberPartitioning,X,6,exp_quadratic,232.88329394992306,0.75810695227748792;0.13888550615585071,0.012827210395563508;0.0013939491740349872,False,11,False
inc_prop,NumberPartitioning,X,6,exp_decay,3197.1743056780347,0.99999999999999989;0.83750827135941874,0.037857245991183536;0.0063190684712120188,False,11,False
inc_prop,NumberPartitioning,X,6,exp_over_power,3197.1743070679568,0.99999999999996592;0.83751401752251231;2.0243870581264373e-13,0.06861164893788306;0.026599121786135105;0.12962117880702761,False,11,False
inc_prop,NumberPartitioning,X,6,power_law,7238.6592091823095,0.99999999999999989;3.811533428314378,0.1252705006709155;0.058684959303106903,False,11,False
inc_prop,NumberPartitioning,X,8,stretched_exp,102.46357646428645,0.99999999999999989;0.31395506864918249;1.5330207671313916,0.053926367866510096;0.023696972542638486;0.037695125294831267,True,11,False
inc_prop,NumberPartitioning,X,8,exp_quadratic,383.6547052987116,0.67897310087698082;0.13702065880199474,0.010586262420356464;0.0013137889064043827,False,11,False
inc_prop,NumberPartitioning,X,8,exp_over_power,3379.5822464156017,0.99999999999999944;0.78395780980977925;2.1450873663068704e-15,0.052362484148642481;0.020286813997194827;0.097770171496665767,False,11,False
inc_prop,NumberPartitioning,X,8,exp_decay,3379.582247109022,0.99999999999999989;0.78395858142733554,0.027190269183994486;0.0050242064478176716,False,11,False
inc_prop,NumberPartitioning,X,8,power_law,9843.93259789582,0.99999999999999989;3.4545537092582217,0.080368247014975622;0.038861538766457746,False,11,False
inc_prop,SK,Grover,4,stretched_exp,50.191911685872014,0.99999999999999989;0.26208050803217431;1.5533865888930269,0.066892236346444464;0.028967738528855504;0.053167415541677511,True,11,False
inc_prop,SK,Grover,4,exp_quadratic,168.477176021511,0.74707648779204527;0.11860314780068397,0.015616061848967933;0.001890633487227688,False,11,False
inc_prop,SK,Grover,4,exp_decay,1693.9841466348255,0.99999999999999989;0.74528844583770792,0.04130859398251828;0.0068334935358335333,False,11,False
inc_prop,SK,Grover,4,exp_over_power,1693.9841474562877,0.99999999999999978;0.74529384719795599;3.9894099283714022e-14,0.078323203685613865;0.031925468894698952;0.16018314920078719,False,11,False
inc_prop,SK,Grover,4,power_law,4126.095237126841,0.99999999999999989;3.4231074085274167,0.12275071058345451;0.05884785106362634,False,11,False
inc_prop,SK,Grover,6,stretched_exp,50.592261088641585,0.99999999999999989;0.27916864688143184;1.4047388197885442,0.068584166840471611;0.030196781401274998;0.046778714375734345,True,11,False
inc_prop,SK,Grover,6,exp_quadratic,258.33382258361587,0.65916989407532445;0.086638474296542173,0.014522691882876164;0.0014207800477932572,False,11,False
inc_prop,SK,Grover,6,exp_over_power,844.2181020934297,0.99999999999999978;0.62822687037769309;4.1104905926893177e-15,0.074988257249884852;0.030003043828103853;0.15156354427199101,False,11,False
inc_prop,SK,Grover,6,exp_decay,844.2181023745364,0.99999999999999989;0.62822930523102838,0.039721015220226315;0.0063356271836081694,False,11,False
inc_prop,SK,Grover,6,power_law,2668.1653209704273,0.99999999999999989;2.8331560627515775,0.099046244305327255;0.047666303590825534,False,11,False
inc_prop,SK,Grover,8,stretched_exp,44.2720140324293,0.99999999999999989;0.30728441185672833;1.3392683353156458,0.097463580381317527;0.046287454013250171;0.06479195868786658,True,11,False
inc_prop,SK,Grover,8,exp_quadratic,160.7569521088334,0.67599935253524068;0.092605372243200756,0.019962337527867493;0.0025233162010361047,False,11,False
inc_prop,SK,Grover,8,exp_over_power,378.8984014657876,0.99999999999999989;0.59083534330135812;1.6424593139129209e-15,0.086683133410742796;0.036044085948941255;0.1804603675412455,False,11,False
inc_prop,SK,Grover,8,exp_decay,378.8984015284964,0.99999999999999989;0.59083701453194526,0.045234953671214717;0.0080263875787788229,False,11,False
inc_prop,SK,Grover,8,power_law,1435.043474235097,0.99999999999999989;2.6374007449352801,0.10406443023272524;0.052252180546944166,False,11,False
inc_prop,SK,X,4,stretched_exp,83.04030632738649,0.99999999999999989;0.22618548511659944;1.7136985104228315,0.048196285400222895;0.020226663785246742;0.046852810168454245,True,11,False
inc_prop,SK,X,4,exp_quadratic,185.19198554216774,0.8502750462876979;0.14160195318433585,0.0124417172227635;0.0016870314773600856,False,11,False
inc_prop,SK,X,4,exp_over_power,4984.464510906431,0.99999999999999989;0.81621380315292669;1.8471947935697669e-16,0.059640927040816825;0.026084400896155387;0.12917971031021189,False,11,False
inc_prop,SK,X,4,exp_decay,4984.4645138808155,0.99999999999999989;0.81621555420918734,0.031177744274806171;0.0052806411440100695,False,11,False
inc_prop,SK,X,4,power_law,10058.520020802973,0.99999999999999989;3.7411460347533958,0.098443683991624217;0.047422462597067228,False,11,False
inc_prop,SK,X,6,stretched_exp,62.417653895689824,0.99999999999999989;0.25384678674905126;1.6351606364090074,0.064852982649882485;0.026751867808477058;0.052562046406938803,True,11,False
inc_prop,SK,X,6,exp_quadratic,169.18621214999536,0.78151307231963318;0.13407415184623636,0.015954033278959636;0.0018077248417689411,False,11,False
inc_prop,SK,X,6,exp_decay,2179.998519737241,0.99999999999999989;0.81470217110454313,0.04499979518191409;0.0073326327383479769,False,11,False
inc_prop,SK,X,6,exp_over_power,2179.998520524038,0.99999999999999767;0.81470346488920942;7.2960946993415636e-15,0.08284007175399985;0.032788707695321821;0.16193040301996278,False,11,False
inc_prop,SK,X,6,power_law,4814.914336247186,0.99999999999999989;3.7244312427891395,0.14555088847010575;0.068182588961609919,False,11,False
inc_prop,SK,X,8,stretched_exp,111.18160068859464,0.99999999999999989;0.24447839733380222;1.6142972515085199,0.049202309618692854;0.020778928549144111;0.041637310074508008,True,11,False
inc_prop,SK,X,8,exp_quadratic,307.83806673452756,0.77658696411309769;0.12260156633548183,0.01148768453749726;0.0012981564073814085,False,11,False
inc_prop,SK,X,8,exp_over_power,3310.959006715419,0.99999999999999745;0.75680480739406275;4.2944350677044647e-14,0.057343969371007684;0.024787341322444294;0.11954437890449089,False,11,False
inc_prop,SK,X,8,exp_decay,3310.959007685923,0.99999999999999989;0.75680604193513923,0.031913349812890388;0.0053925351595555055,False,11,False
inc_prop,SK,X,8,power_law,7654.255200689465,0.99999999999999989;3.4000849071325194,0.088916495843200369;0.042984238578207011,False,11,False
inc_prop,ThreeSAT,Grover,4,stretched_exp,15.252786732499562,0.99999999999999989;0.36322057311807471;1.4619671597518313,0.18400013567224111;0.080150328038299121;0.10048274809156178,True,11,False
inc_prop,ThreeSAT,Grover,4,exp_quadratic,57.64860522656493,0.61867101344328579;0.13365614917627627,0.035798658615206543;0.0042707609623656283,False,11,False
inc_prop,ThreeSAT,Grover,4,exp_over_power,238.2009654202737,0.99999999999999534;0.89054162097239176;1.6036672500723155e-14,0.2324807327847298;0.090458539842053043;0.44793290757592957,False,11,False
inc_prop,ThreeSAT,Grover,4,exp_decay,238.20096549647732,0.99999999999999989;0.8905402153116283,0.12690664762463813;0.019067484098480365,False,11,False
inc_prop,ThreeSAT,Grover,4,power_law,584.5943451212943,0.99999999999999989;4.000379042308313,0.4314670776901437;0.19557235401555256,False,11,False
inc_prop,ThreeSAT,Grover,6,stretched_exp,12.537924751509614,0.99999999999999989;0.37535964477938105;1.4112295872305374,0.20929857902311833;0.094911960565408848;0.11334694035151151,True,11,False
