problem,mixer,N,p,mean_q,std_q,n_inst,reps,mean_se_binom_sq,se_inst,se_binom,se_total
NumberPartitioning,Grover,4,2,1.0,1.1702778228589004e-16,10,100000.0,6.661338147750938e-22,3.700743415417188e-17,2.5809568279517847e-11,2.580956827954438e-11
NumberPartitioning,Grover,4,3,0.443835,0.01006178938139516,10,100000.0,2.4675437712999997e-06,0.003181817178210533,0.0015708417397370111,0.003548450975687228
NumberPartitioning,Grover,4,4,0.18079299999999993,0.008365973477260275,10,100000.0,1.4804390058999994e-06,0.0026455531032701343,0.0012167329229950175,0.0029119392555687416
NumberPartitioning,Grover,4,5,0.06885799999999992,0.005730114988181116,10,100000.0,6.408702503999993e-07,0.0018120214617321137,0.0008005437217291754,0.0019809825915887767
NumberPartitioning,Grover,4,6,0.02472199999999989,0.002880014660456513,10,100000.0,2.4103357679999894e-07,0.0009107406021719051,0.0004909517051604964,0.0010346410108073444
NumberPartitioning,Grover,4,7,0.00836299999999992,0.0013619189892696976,10,100000.0,8.291390889999922e-08,0.0004306765994726663,0.00028794775376793483,0.0005180697271925264
NumberPartitioning,Grover,4,8,0.0027419999999999203,0.0005802643075932682,10,100000.0,2.7341783999999207e-08,0.00018349568568952647,0.0001653535122094454,0.00024700698505643255
NumberPartitioning,Grover,4,9,0.00086299999999997,0.0001951096557779257,10,100000.0,8.6222096999997e-09,6.169909057496767e-05,9.285585441963097e-05,0.00011148536889555403
NumberPartitioning,Grover,4,10,0.00027999999999998,8.366600265341154e-05,10,100000.0,2.7991529999998e-09,2.6457513110647166e-05,5.2907022218225435e-05,5.915363894131845e-05
NumberPartitioning,Grover,4,11,7.2e-05,3.155242550986462e-05,10,100000.0,7.199392e-10,9.977753031397176e-06,2.683168276497022e-05,2.8626818816549554e-05
NumberPartitioning,Grover,4,12,2.1000000000000002e-05,1.7919573407620816e-05,10,100000.0,2.0999269999999997e-10,5.666666666666666e-06,1.4491124870071335e-05,1.555968544383565e-05
NumberPartitioning,Grover,6,2,1.0,1.1102230246251565e-16,10,100000.0,8.88178419700125e-22,3.510833468576701e-17,2.9802322387695307e-11,2.9802322387715986e-11
NumberPartitioning,Grover,6,3,0.4823579999999999,0.009167329430586074,10,100000.0,2.496131239e-06,0.002898964106174645,0.0015799149467613754,0.0033015336024170582
NumberPartitioning,Grover,6,4,0.22654999999999997,0.012280932827400016,10,100000.0,1.7508935831999997e-06,0.003883571952611556,0.0013232133551321192,0.004102806928714917
NumberPartitioning,Grover,6,5,0.10399099999999994,0.009492158693714916,10,100000.0,9.309578094999994e-07,0.0030016841383907742,0.000964861549394523,0.0031529455238184442
NumberPartitioning,Grover,6,6,0.04693199999999993,0.006186725574432195,10,100000.0,4.469493935999993e-07,0.001956414407361931,0.0006685427387983503,0.002067488023407472
NumberPartitioning,Grover,6,7,0.020806999999999902,0.003892742677798697,10,100000.0,2.0360430649999905e-07,0.0012309933206786855,0.000451225338938317,0.0013110869010311773
NumberPartitioning,Grover,6,8,0.00902099999999994,0.002171453430308826,10,100000.0,8.935377869999942e-08,0.0006866738672761596,0.0002989210241853179,0.0007489157353801536
NumberPartitioning,Grover,6,9,0.0038319999999999405,0.001096021086577352,10,100000.0,3.816234639999941e-08,0.0003465922997157033,0.00019535185281946882,0.00039785495927815117
NumberPartitioning,Grover,6,10,0.00161399999999998,0.0005481321819496739,10,100000.0,1.61112459999998e-08,0.0001733346153798803,0.00012693008311665048,0.00021483978888672098
NumberPartitioning,Grover,6,11,0.00068899999999997,0.0002777068798411722,10,100000.0,6.8845586999997014e-09,8.781862621968032e-05,8.297324086715971e-05,0.00012081667853037355
NumberPartitioning,Grover,6,12,0.00027699999999997003,0.00013768321127376835,10,100000.0,2.7690620999997004e-09,4.353925431912808e-05,5.262187852974939e-05,6.829881965792244e-05
NumberPartitioning,Grover,8,2,1.0,1.0467283057891834e-16,10,100000.0,6.661338147750938e-22,3.31004553766303e-17,2.5809568279517847e-11,2.5809568279539072e-11
NumberPartitioning,Grover,8,3,0.5110249999999998,0.009447516134472088,10,100000.0,2.4979811937e-06,0.0029875669216121404,0.0015805002985447361,0.0033798723799591964
NumberPartitioning,Grover,8,4,0.2663289999999999,0.012996534110634587,10,100000.0,1.9524584484999997e-06,0.004109864947767607,0.001397303992873419,0.004340904092166612
NumberPartitioning,Grover,8,5,0.14023999999999995,0.01236975253502581,10,100000.0,1.2043503269999996e-06,0.003911659210332329,0.0010974289621656608,0.004062687300885676
NumberPartitioning,Grover,8,6,0.0740609999999999,0.009709111928721599,10,100000.0,6.849112810999993e-07,0.003070290775227064,0.0008275936690792162,0.0031798736964767016
NumberPartitioning,Grover,8,7,0.038915999999999965,0.006850301209922588,10,100000.0,3.7359310979999964e-07,0.002166255448156262,0.0006112226352156796,0.0022508344622532077
NumberPartitioning,Grover,8,8,0.02017899999999994,0.004388296176573934,10,100000.0,1.975447652999994e-07,0.0013877010965382065,0.00044446008290958977,0.0014571407271205276
NumberPartitioning,Grover,8,9,0.010128999999999961,0.0026545242302320397,10,100000.0,1.002006150999996e-07,0.0008394342671638442,0.0003165448074127889,0.0008971346075082043
NumberPartitioning,Grover,8,10,0.00510899999999994,0.0014865878155471937,10,100000.0,5.08090916999994e-08,0.0004701003438983402,0.00022540872143730242,0.0005213477007078262
