problem,representation,sense,mixer,N,p,instance_seed,angle_seed,reps,tol,sample_from_periods,canonicalize,beta_period,gamma_period,inc_count,dec_count,other_count,inc_prop,dec_prop,inc_se_binom,dec_se_binom
MaxCut,pairwise Ising / graph cut,maximize cut value,X,4,11,9,22264336,100000,1.000e-12,true,false,3.1415926535897931,6.2831853071795862,1,1,99998,1.0000000000000001e-05,1.0000000000000001e-05,9.999949999874999e-06,9.999949999874999e-06
MaxCut,pairwise Ising / graph cut,maximize cut value,X,4,12,9,22264336,100000,1.000e-12,true,false,3.1415926535897931,6.2831853071795862,0,0,100000,0,0,0,0
MaxCut,pairwise Ising / graph cut,maximize cut value,Grover,4,2,9,22264336,100000,1.000e-12,true,false,6.2831853071795862,6.2831853071795862,49790,50210,0,0.49790000000000001,0.50209999999999999,0.0015811248843782075,0.0015811248843782075
MaxCut,pairwise Ising / graph cut,maximize cut value,Grover,4,3,9,22264336,100000,1.000e-12,true,false,6.2831853071795862,6.2831853071795862,20710,20563,58727,0.20710000000000001,0.20563000000000001,0.0012814428976743364,0.0012780700415078981
MaxCut,pairwise Ising / graph cut,maximize cut value,Grover,4,4,9,22264336,100000,1.000e-12,true,false,6.2831853071795862,6.2831853071795862,7423,7271,85306,0.074230000000000004,0.072709999999999997,0.00082897471071197344,0.00082111665371005591
MaxCut,pairwise Ising / graph cut,maximize cut value,Grover,4,5,9,22264336,100000,1.000e-12,true,false,6.2831853071795862,6.2831853071795862,2239,2256,95505,0.02239,0.02256,0.00046785348026919709,0.00046958541715006439
MaxCut,pairwise Ising / graph cut,maximize cut value,Grover,4,6,9,22264336,100000,1.000e-12,true,false,6.2831853071795862,6.2831853071795862,628,633,98739,0.00628,0.0063299999999999997,0.00024981116067942204,0.00025079735046447361
MaxCut,pairwise Ising / graph cut,maximize cut value,Grover,4,7,9,22264336,100000,1.000e-12,true,false,6.2831853071795862,6.2831853071795862,184,153,99663,0.0018400000000000001,0.0015299999999999999,0.00013552174733230088,0.00012359850727253948
MaxCut,pairwise Ising / graph cut,maximize cut value,Grover,4,8,9,22264336,100000,1.000e-12,true,false,6.2831853071795862,6.2831853071795862,42,36,99922,0.00042000000000000002,0.00036000000000000002,6.4793795999308461e-05,5.9989199027825001e-05
MaxCut,pairwise Ising / graph cut,maximize cut value,Grover,4,9,9,22264336,100000,1.000e-12,true,false,6.2831853071795862,6.2831853071795862,13,10,99977,0.00012999999999999999,0.0001,3.6053169070138622e-05,3.1621195423323263e-05
