problem,mixer,N,p,instance_seed,angle_seed,reps,tol,canonicalize,inc_count,dec_count,other_count,inc_prop,dec_prop,inc_se_binom,dec_se_binom
SK,X,5,11,4,21260231,100000,1.000e-12,false,0,1,99999,0,1.0000000000000001e-05,0,9.999949999874999e-06
SK,X,5,12,4,21260231,100000,1.000e-12,false,0,1,99999,0,1.0000000000000001e-05,0,9.999949999874999e-06
SK,X,5,13,4,21260231,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,X,5,14,4,21260231,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,X,5,15,4,21260231,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,X,5,16,4,21260231,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,X,5,17,4,21260231,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,X,5,18,4,21260231,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,X,5,19,4,21260231,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,X,5,20,4,21260231,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,Grover,5,2,4,21260231,100000,1.000e-12,false,47312,52688,0,0.47311999999999999,0.52688000000000001,0.0015788523224165077,0.0015788523224165077
SK,Grover,5,3,4,21260231,100000,1.000e-12,false,20517,26365,53118,0.20516999999999999,0.26365,0.0012770092838346949,0.0013933365619978541
SK,Grover,5,4,4,21260231,100000,1.000e-12,false,8723,12469,78808,0.087230000000000002,0.12469,0.0008923055928324108,0.0010447124192810191
SK,Grover,5,5,4,21260231,100000,1.000e-12,false,3768,5559,90673,0.037679999999999998,0.055590000000000001,0.00060216457551071534,0.00072456712525479651
SK,Grover,5,6,4,21260231,100000,1.000e-12,false,1503,2415,96082,0.01503,0.024150000000000001,0.00038476095306046849,0.0004854562544658375
SK,Grover,5,7,4,21260231,100000,1.000e-12,false,616,1045,98339,0.0061599999999999997,0.010449999999999999,0.00024742785615205088,0.00032157110411229424
SK,Grover,5,8,4,21260231,100000,1.000e-12,false,220,412,99368,0.0022000000000000001,0.0041200000000000004,0.00014816072354034994,0.00020255926540151156
SK,Grover,5,9,4,21260231,100000,1.000e-12,false,93,176,99731,0.00093000000000000005,0.0017600000000000001,9.639165420304809e-05,0.00013254819500845721
SK,Grover,5,10,4,21260231,100000,1.000e-12,false,36,66,99898,0.00036000000000000002,0.00066,5.9989199027825001e-05,8.1213570294625024e-05
SK,Grover,5,11,4,21260231,100000,1.000e-12,false,16,30,99954,0.00016000000000000001,0.00029999999999999997,3.9996799871989764e-05,5.476403929587371e-05
SK,Grover,5,12,4,21260231,100000,1.000e-12,false,9,8,99983,9.0000000000000006e-05,8.0000000000000007e-05,2.9998649969623634e-05,2.8283139853983683e-05
SK,Grover,5,13,4,21260231,100000,1.000e-12,false,3,2,99995,3.0000000000000001e-05,2.0000000000000002e-05,1.7320248266119051e-05,1.4141994201667599e-05
SK,Grover,5,14,4,21260231,100000,1.000e-12,false,1,1,99998,1.0000000000000001e-05,1.0000000000000001e-05,9.999949999874999e-06,9.999949999874999e-06
SK,Grover,5,15,4,21260231,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,Grover,5,16,4,21260231,100000,1.000e-12,false,0,0,100000,0,0,0,0
SK,Grover,5,17,4,21260231,100000,1.000e-12,false,0,0,100000,0,0,0,0
